01O	Γένεσις
02O	Ἔξοδος
03O	Λευϊτικόν
04O	Ἀριθμοί
05O	Δευτερονόμιον
06O	Ἰησοῦς Ναυῆ
07O	Κριταί
08O	Ῥούθ
09O	Βασιλειῶν Αʹ
10O	Βασιλειῶν Βʹ
11O	Βασιλειῶν Γʹ
12O	Βασιλειῶν Δʹ
13O	Παραλειπομένων Αʹ
14O	Παραλειπομένων Βʹ
15O	Ἔσδρας Αʹ
16O	Ἔσδρας Βʹ
17O	Ἐσθήρ
18O	Ἰώβ
19O	Ψαλμοί
20O	Παροιμίαι
21O	Ἐκκλησιαστής
22O	Ἆσμα Ἀσμάτων
23O	Ἠσαΐας
24O	Ἱερεμίας
25O	Θρῆνοι
26O	Ἰεζεκιήλ
27O	Δανιήλ
28O	Ὡσηέ Αʹ
29O	Ἰωήλ Δʹ
30O	Ἀμώς Βʹ
31O	Ὀβδιού Εʹ
32O	Ἰωνᾶς Ϛ'
33O	Μιχαίας Γʹ
34O	Ναούμ Ζʹ
35O	Ἀμβακούμ Ηʹ
36O	Σοφονίας Θʹ
37O	Ἀγγαῖος Ιʹ
38O	Ζαχαρίας ΙΑʹ
39O	Μαλαχίας ΙΒʹ
40N	Κατα Ματθιαν
41N	Κατα Μαρκον
42N	Κατα Λουκαν
43N	Κατα Iωαννην
44N	Πραξεις Aποστολων
45N	Προς Ρωμαιους
46N	Προς Κορινθιους α'
47N	Προς Κορινθιους β'
48N	Προς Γαλατας
49N	Προς Εφεσιους
50N	Προς Φιλιππησιους
51N	Προς Κολοσσαεις
52N	Προς Θεσσαλονικεις α'
53N	Προς Θεσσαλονικεις β'
54N	Προς Θιμοθεον α'
55N	Προς Θιμοθεον β'
56N	Προς Τιτον
57N	Προς Φιλημονα
58N	Προς Εβραιους
59N	Ιακωβου επιστολη
60N	Πετρου α'
61N	Πετρου β'
62N	Ιωαννου α'
63N	Ιωαννου	β'
64N	Ιωαννου γ'
65N	Ιουδα
66N	Αποκαλυψις Ιωαννου
67A	Τωβίτ
68A	Ἰουδίθ
69A	Ἐσθήρ
70A	Σοφία Σαλoμῶντος
71A	Σοφία Ἰησοῦ Σειράχ
72A	Βαρούχ
73A	Ἐπιστολὴ Ἰερεμίου
74A	Δανιήλ
75A	Δανιήλ
76A	Δανιήλ
77A	Μακκαβαίων Αʹ
78A	Μακκαβαίων Βʹ
79A	Μακκαβαίων Γʹ
80A	Μακκαβαίων Δ' Παράρτημα
81A	Ἔσδρας Αʹ
82A	Ἔσδρας Βʹ
83A	Προσευχὴ Μανασσῆ
84A	Ψαλμός ΡΝΑʹ
85A	Ψαλμοί Σαλoμῶντος
86A	Ὠδαί
