01O	Γένεσις
02O	Ἔξοδος
03O	Λευϊτικόν
04O	Ἀριθμοί
05O	Δευτερονόμιον
06O	Ἰησοῦς Ναυῆ
07O	Κριταί
08O	Ῥούθ
09O	Βασιλειῶν Αʹ
10O	Βασιλειῶν Βʹ
11O	Βασιλειῶν Γʹ
12O	Βασιλειῶν Δʹ
13O	Παραλειπομένων Αʹ
14O	Παραλειπομένων Βʹ
15O	Ἔσδρας Αʹ
16O	Ἔσδρας Βʹ
17O	Ἐσθήρ
18O	Ἰώβ
19O	Ψαλμοί
20O	Παροιμίαι
21O	Ἐκκλησιαστής
22O	Ἆσμα Ἀσμάτων
23O	Ἠσαΐας
24O	Ἱερεμίας
25O	Θρῆνοι
26O	Ἰεζεκιήλ
27O	Δανιήλ
28O	Ὡσηέ Αʹ
29O	Ἰωήλ Δʹ
30O	Ἀμώς Βʹ
31O	Ὀβδιού Εʹ
32O	Ἰωνᾶς Ϛ'
33O	Μιχαίας Γʹ
34O	Ναούμ Ζʹ
35O	Ἀμβακούμ Ηʹ
36O	Σοφονίας Θʹ
37O	Ἀγγαῖος Ιʹ
38O	Ζαχαρίας ΙΑʹ
39O	Μαλαχίας ΙΒʹ
40N	Matthew
41N	Mark
42N	Luke
43N	John
44N	Acts of the Apostles
45N	Romans
46N	1 Corinthians
47N	2 Corinthians
48N	Galatians
49N	Ephesians
50N	Philippians
51N	Colossians
52N	1 Thessalonians
53N	2 Thessalonians
54N	1 Timothy
55N	2 Timothy
56N	Titus
57N	Philemon
58N	Hebrews
59N	James
60N	1 Peter
61N	2 Peter
62N	1 John
63N	2 John
64N	3 John
65N	Jude
66N	Revelation
67A	Τωβίτ
68A	Ἰουδίθ
69A	Ἐσθήρ
70A	Σοφία Σαλoμῶντος
71A	Σοφία Ἰησοῦ Σειράχ
72A	Βαρούχ
73A	Ἐπιστολὴ Ἰερεμίου
74A	Δανιήλ
75A	Δανιήλ
76A	Δανιήλ
77A	Μακκαβαίων Αʹ
78A	Μακκαβαίων Βʹ
79A	Μακκαβαίων Γʹ
80A	Μακκαβαίων Δ' Παράρτημα
81A	Ἔσδρας Αʹ
82A	Ἔσδρας Βʹ
83A	Προσευχὴ Μανασσῆ
84A	Ψαλμός ΡΝΑʹ
85A	Ψαλμοί Σαλoμῶντος
86A	Ὠδαί
