01O	בראשית
02O	שמות
03O	ויקרא
04O	במדבר
05O	דברים
06O	יהושע
07O	שופטים
08O	רות
09O	1 שמואל
10O	2 שמואל
11O	1 מלכים
12O	2 מלכים
13O	1 דברי הימים
14O	2 דברי הימים
15O	עזרא
16O	ונחמיה
17O	אסתר
18O	איוב
19O	תהלים
20O	משלי
21O	קהלת
22O	שיר השירים
23O	ישעיה
24O	ירמיה
25O	איכה
26O	יחזקאל
27O	דניאל
28O	הושע
29O	יואל
30O	עמוס
31O	עובדיה
32O	יונה
33O	מיכה
34O	נחום
35O	חבקוק
36O	צפניה
37O	חגי
38O	זכריה
39O	מלאכי
40N	Matthew
41N	Mark
42N	Luke
43N	John
44N	Acts of the Apostles
45N	Romans
46N	1 Corinthians
47N	2 Corinthians
48N	Galatians
49N	Ephesians
50N	Philippians
51N	Colossians
52N	1 Thessalonians
53N	2 Thessalonians
54N	1 Timothy
55N	2 Timothy
56N	Titus
57N	Philemon
58N	Hebrews
59N	James
60N	1 Peter
61N	2 Peter
62N	1 John
63N	2 John
64N	3 John
65N	Jude
66N	Revelation
67A	Tobit
68A	Judith
69A	Esther, Greek
70A	Wisdom of Solomon
71A	Ecclesiasticus
72A	Baruch
73A	Epistle of Jeremiah
74A	Prayer of Azariah
75A	Susanna
76A	Bel and the Dragon
77A	1 Maccabees
78A	2 Maccabees
79A	3 Maccabees
80A	4 Maccabees
81A	1 Esdras
82A	2 Esdras
83A	Prayer of Manasseh
84A	Psalm 151
85A	Psalm of Solomon
86A	Odes
